00000001    0046B238    N/A N/A N/A
00000002    0014C320    N/A N/A N/A
00000003    00122A10    N/A N/A N/A
00000004    000B8EA4    0003    006A8FAF    AlpcGetHeaderSize
0000032D    0050D840    032C    006ADCBA    IoWMIQueryAllData
0000032E    0062C0B4    032D    006ADCCC    IoWMIQueryAllDataMultiple
0000032F    004DBC08    032E    006ADCE6    IoWMIQuerySingleInstance
00000330    0062C178    032F    006ADCFF    IoWMIQuerySingleInstanceMultiple
00000331    00425D60    0330    006ADD20    IoWMIRegistrationControl
00000332    0050FD24    0331    006ADD39    IoWMISetNotificationCallback
00000333    0062C244    0332    006ADD56    IoWMISetSingleInstance
00000334    0062C34C    0333    006ADD6D    IoWMISetSingleItem
00000335    0062C468    0334    006ADD80    IoWMISuggestInstanceName
00000336    00122888    0335    006ADD99    IoWMIWriteEvent
00000337    000E0E7C    0336    006ADDA9    IoWithinStackLimits
00000338    001230B0    0337    006ADDBD    IoWriteErrorLogEntry
00000339    002DEABC    0338    006ADDD2    IoWriteOperationCount
0000033A    005C4E8C    0339    006ADDE8    IoWritePartitionTable
0000033B    005C65CC    033A    006ADDFE    IoWritePartitionTableEx
0000033C    002DEAD0    033B    006ADE16    IoWriteTransferCount
0000033D    00032CFC    033C    006ADE2B    IofCallDriver
0000033E    000994F4    033D    006ADE39    IofCompleteRequest
0000033F    001D8AA8    033E    006ADE4C    KdAcquireDebuggerLock
00000340    001D8BD0    033F    006ADE62    KdChangeOption
00000341    002DC640    0340    006ADE71    KdDebuggerEnabled
00000342    002DC641    0341    006ADE83    KdDebuggerNotPresent
00000343    001D88C8    0342    006ADE98    KdDeregisterPowerHandler
00000344    0013B7E4    0343    006ADEB1    KdDisableDebugger
00000345    001D8C30    0344    006ADEC3    KdEnableDebugger
00000346    002DB234    0345    006ADED4    KdEnteredDebugger
00000347    00669904    0346    006ADEE6    KdLogDbgPrint
00000348    001D9498    0347    006ADEF4    KdPollBreakIn
00000349    001D8E1C    0348    006ADF02    KdPowerTransition
0000034A    0013B960    0349    006ADF14    KdRefreshDebuggerNotPresent
0000034B    001D89AC    034A    006ADF30    KdRegisterPowerHandler
0000034C    001D8EA0    034B    006ADF47    KdReleaseDebuggerLock
0000034D    005E38C4    034C    006ADF5D    KdSystemDebugControl
0000034E    00070E7C    034D    006ADF72    KeAcquireGuardedMutex
0000034F    001D9A7C    034E    006ADF88    KeAcquireGuardedMutexUnsafe
00000350    0009C620    034F    006ADFA4    KeAcquireInStackQueuedSpinLock
00000351    00084F50    0350    006ADFC3    KeAcquireInStackQueuedSpinLockAtDpcLevel
00000352    001DB4AC    0351    006ADFEC    KeAcquireInStackQueuedSpinLockForDpc
00000353    001DB0B0    0352    006AE011    KeAcquireInStackQueuedSpinLockRaiseToSynch
00000354    000EFA14    0353    006AE03C    KeAcquireInterruptSpinLock
00000355    00086E94    0354    006AE057    KeAcquireQueuedSpinLock
00000356    001DB100    0355    006AE06F    KeAcquireQueuedSpinLockRaiseToSynch
00000357    0002B2B8    0356    006AE093    KeAcquireSpinLockAtDpcLevel
00000358    001DB4CC    0357    006AE0AF    KeAcquireSpinLockForDpc
00000359    0002B2E0    0358    006AE0C7    KeAcquireSpinLockRaiseToDpc
0000035A    001DB600    0359    006AE0E3    KeAcquireSpinLockRaiseToSynch
0000035B    00129FBC    035A    006AE101    KeAddGroupAffinityEx
0000035C    0013A754    035B    006AE116    KeAddProcessorAffinityEx
0000035D    00138878    035C    006AE12F    KeAddProcessorGroupAffinity
0000035E    005010E0    035D    006AE14B    KeAddSystemServiceTable
0000035F    00025780    035E    006AE163    KeAlertThread
00000360    004D6F9C    035F    006AE171    KeAllocateCalloutStack
00000361    004D6FD0    0360    006AE188    KeAllocateCalloutStackEx
00000362    000DE800    0361    006AE1A1    KeAndAffinityEx
00000363    000E108C    0362    006AE1B1    KeAndGroupAffinityEx
00000364    00053F54    0363    006AE1C6    KeAreAllApcsDisabled
00000365    000F8394    0364    006AE1DB    KeAreApcsDisabled
00000366    000FCA28    0365    006AE1ED    KeAttachProcess
00000367    0014E270    0366    006AE1FD    KeBugCheck
00000368    0014E2A0    0367    006AE208    KeBugCheckEx
00000369    000DC1F0    0368    006AE215    KeCancelTimer
0000036A    001CFF70    0369    006AE223    KeCapturePersistentThreadState
0000036B    00138898    036A    006AE242    KeCheckProcessorAffinityEx
0000036C    001DB888    036B    006AE25D    KeCheckProcessorGroupAffinity
0000036D    0003DC70    036C    006AE27B    KeClearEvent
0000036E    0004E4A0    036D    006AE288    KeClockInterruptNotify
0000036F    001D9834    036E    006AE29F    KeClockTimerPowerChange
00000370    001DB8DC    036F    006AE2B7    KeComplementAffinityEx
00000371    0012BC84    0370    006AE2CE    KeCopyAffinityEx
00000372    0012BBC4    0371    006AE2DF    KeCountSetBitsAffinityEx
00000373    001DBF20    0372    006AE2F8    KeCountSetBitsGroupAffinity
00000374    00074830    0373    006AE314    KeDelayExecutionThread
00000375    001DCC44    0374    006AE32B    KeDeregisterBugCheckCallback
00000376    00138FF0    0375    006AE348    KeDeregisterBugCheckReasonCallback
00000377    001DA6A8    0376    006AE36B    KeDeregisterNmiCallback
00000378    005E4BCC    0377    006AE383    KeDeregisterProcessorChangeCallback
00000379    00086FE0    0378    006AE3A7    KeDetachProcess
0000037A    001DD928    0379    006AE3B7    KeDispatchSecondaryInterrupt
0000037B    00042EA0    037A    006AE3D4    KeEnterCriticalRegion
0000037C    000D3E20    037B    006AE3EA    KeEnterGuardedRegion
0000037D    001DCD04    037C    006AE3FF    KeEnterKernelDebugger
0000037E    000E0EE4    037D    006AE415    KeEnumerateNextProcessor
0000037F    000FD57C    037E    006AE42E    KeExpandKernelStackAndCallout
00000380    000AB6FC    037F    006AE44C    KeExpandKernelStackAndCalloutEx
00000381    0072222C    0380    006AE46C    KeFindConfigurationEntry
00000382    0072224C    0381    006AE485    KeFindConfigurationNextEntry
00000383    001DB930    0382    006AE4A2    KeFindFirstSetLeftAffinityEx
00000384    001DB970    0383    006AE4BF    KeFindFirstSetLeftGroupAffinity
00000385    001DB998    0384    006AE4DF    KeFindFirstSetRightAffinityEx
00000386    0012475C    0385    006AE4FD    KeFindFirstSetRightGroupAffinity
00000387    000FDC18    0386    006AE51E    KeFirstGroupAffinityEx
00000388    001DE200    0387    006AE535    KeFlushEntireTb
00000389    000F0DF8    0388    006AE545    KeFlushQueuedDpcs
0000038A    00377F7C    0389    006AE557    KeForceEnableNx
0000038B    004CAFDC    038A    006AE567    KeFreeCalloutStack
0000038C    000F098C    038B    006AE57A    KeGenericCallDpc
0000038D    001D9924    038C    006AE58B    KeGetClockOwner
0000038E    001D992C    038D    006AE59B    KeGetClockTimerResolution
0000038F    00042BE0    038E    006AE5B5    KeGetCurrentIrql
00000390    000E84D0    038F    006AE5C6    KeGetCurrentNodeNumber
00000391    000313A0    0390    006AE5DD    KeGetCurrentProcessorNumberEx
00000392    00044B10    0391    006AE5FB    KeGetCurrentThread
00000393    001D9940    0392    006AE60E    KeGetNextClockTickDuration
00000394    000DE330    0393    006AE629    KeGetProcessorIndexFromNumber
00000395    000F61E8    0394    006AE647    KeGetProcessorNumberFromIndex
00000396    000BBE58    0395    006AE665    KeGetRecommendedSharedDataAlignment
00000397    001DA2E8    0396    006AE689    KeGetXSaveFeatureFlags
00000398    0071FD8C    0397    006AE6A0    KeHwPolicyLocateResource
00000399    0012D268    0398    006AE6B9    KeInitializeAffinityEx
0000039A    000AB208    0399    006AE6D0    KeInitializeApc
0000039B    001D05EC    039A    006AE6E0    KeInitializeCrashDumpHeader
0000039C    0007D890    039B    006AE6FC    KeInitializeDeviceQueue
0000039D    000A9A48    039C    006AE714    KeInitializeDpc
0000039E    000E9D28    039D    006AE724    KeInitializeEnumerationContext
0000039F    0012412C    039E    006AE743    KeInitializeEnumerationContextFromGroup
000003A0    000335CC    039F    006AE76B    KeInitializeEvent
000003A1    000BC388    03A0    006AE77D    KeInitializeGuardedMutex
000003A2    00120AA4    03A1    006AE796    KeInitializeInterrupt
000003A3    000EE75C    03A2    006AE7AC    KeInitializeMutant
000003A4    000EE750    03A3    006AE7BF    KeInitializeMutex
000003A5    000F6E18    03A4    006AE7D1    KeInitializeQueue
000003A6    005E4D04    03A5    006AE7E3    KeInitializeSecondaryInterruptServices
000003A7    000A958C    03A6    006AE80A    KeInitializeSemaphore
000003A8    000B0D18    03A7    006AE820    KeInitializeSpinLock
000003A9    0012CBC4    03A8    006AE835    KeInitializeThreadedDpc
000003AA    000EE1F0    03A9    006AE84D    KeInitializeTimer
000003AB    000A9A28    03AA    006AE85F    KeInitializeTimerEx
000003AC    000D4EC0    03AB    006AE873    KeInsertByKeyDeviceQueue
000003AD    001DE700    03AC    006AE88C    KeInsertDeviceQueue
000003AE    001DEC30    03AD    006AE8A0    KeInsertHeadQueue
000003AF    000DD174    03AE    006AE8B2    KeInsertQueue
000003B0    000AA924    03AF    006AE8C0    KeInsertQueueApc
000003B1    00031550    03B0    006AE8D1    KeInsertQueueDpc
000003B2    001DB9E4    03B1    006AE8E2    KeInterlockedClearProcessorAffinityEx
000003B3    001DBA34    03B2    006AE908    KeInterlockedSetProcessorAffinityEx
000003B4    000CBF1C    03B3    006AE92C    KeInvalidateAllCaches
000003B5    000C4BD8    03B4    006AE942    KeInvalidateRangeAllCaches
000003B6    00122764    03B5    006AE95D    KeIpiGenericCall
000003B7    000320E8    03B6    006AE96E    KeIsAttachedProcess
000003B8    000E7F6C    03B7    006AE982    KeIsEmptyAffinityEx
000003B9    001DBA80    03B8    006AE996    KeIsEqualAffinityEx
000003BA    000F947C    03B9    006AE9AA    KeIsExecutingDpc
000003BB    001DBAF8    03BA    006AE9BB    KeIsSingleGroupAffinityEx
000003BC    001DBB48    03BB    006AE9D5    KeIsSubsetAffinityEx
000003BD    005E4524    03BC    006AE9EA    KeIsWaitListEmpty
000003BE    0035E488    03BD    006AE9FC    KeLastBranchMSR
000003BF    00044B20    03BE    006AEA0C    KeLeaveCriticalRegion
000003C0    000D3DF0    03BF    006AEA22    KeLeaveGuardedRegion
000003C1    003774E4    03C0    006AEA37    KeLoadMTRR
000003C2    0035FA50    03C1    006AEA42    KeLoaderBlock
000003C3    0003DCE0    03C2    006AEA50    KeLowerIrql
000003C4    0035C1CC    03C3    006AEA5C    KeNumberProcessors
000003C5    001DBC64    03C4    006AEA6F    KeOrAffinityEx
000003C6    000FBC5C    03C5    006AEA7E    KeProcessorGroupAffinity
000003C7    001DEC90    03C6    006AEA97    KeProfileInterruptWithSource
000003C8    000762DC    03C7    006AEAB4    KePulseEvent
000003C9    000B7A9C    03C8    006AEAC1    KeQueryActiveGroupCount
000003CA    0012D214    03C9    006AEAD9    KeQueryActiveProcessorAffinity
000003CB    001DAB24    03CA    006AEAF8    KeQueryActiveProcessorCount
000003CC    000EA19C    03CB    006AEB14    KeQueryActiveProcessorCountEx
000003CD    00112F18    03CC    006AEB32    KeQueryActiveProcessors
000003CE    000DDBA0    03CD    006AEB4A    KeQueryDpcWatchdogInformation
000003CF    00103BEC    03CE    006AEB68    KeQueryEffectivePriorityThread
000003D0    000B0A80    03CF    006AEB87    KeQueryGroupAffinity
000003D1    001DBD80    03D0    006AEB9C    KeQueryGroupAffinityEx
000003D2    005E50D4    03D1    006AEBB3    KeQueryHardwareCounterConfiguration
000003D3    000F6EA0    03D2    006AEBD7    KeQueryHighestNodeNumber
000003D4    001DA97C    03D3    006AEBF0    KeQueryInterruptTimePrecise
000003D5    000ECB68    03D4    006AEC0C    KeQueryLogicalProcessorRelationship
000003D6    000ED5A8    03D5    006AEC30    KeQueryMaximumGroupCount
000003D7    001DABE0    03D6    006AEC49    KeQueryMaximumProcessorCount
000003D8    000ED4E4    03D7    006AEC66    KeQueryMaximumProcessorCountEx
000003D9    000F6EAC    03D8    006AEC85    KeQueryNodeActiveAffinity
000003DA    0013B6EC    03D9    006AEC9F    KeQueryNodeMaximumProcessorCount
000003DB    000FD66C    03DA    006AECC0    KeQueryPrcbAddress
000003DC    000A34C0    03DB    006AECD3    KeQueryPriorityThread
000003DD    0013B5A4    03DC    006AECE9    KeQueryRuntimeThread
000003DE    0013B890    03DD    006AECFE    KeQuerySystemTimePrecise
000003DF    000E05F8    03DE    006AED17    KeQueryTimeIncrement
000003E0    0039319C    03DF    006AED2C    KeQueryTotalCycleTimeThread
000003E1    000EE0F4    03E0    006AED48    KeQueryUnbiasedInterruptTime
000003E2    0003F6C4    03E1    006AED65    KeRaiseIrqlToDpcLevel
000003E3    001DF844    03E2    006AED7B    KeRaiseUserException
000003E4    000BC4EC    03E3    006AED90    KeReadStateEvent
000003E5    000BC4EC    03E4    006AEDA1    KeReadStateMutant
000003E6    000BC4EC    03E5    006AEDB3    KeReadStateMutex
000003E7    000BC4EC    03E6    006AEDC4    KeReadStateQueue
000003E8    000BC4EC    03E7    006AEDD5    KeReadStateSemaphore
000003E9    000BC4EC    03E8    006AEDEA    KeReadStateTimer
000003EA    00134C28    03E9    006AEDFB    KeRegisterBugCheckCallback
000003EB    00134D20    03EA    006AEE16    KeRegisterBugCheckReasonCallback
000003EC    001DA984    03EB    006AEE37    KeRegisterNmiCallback
000003ED    004E4D80    03EC    006AEE4D    KeRegisterProcessorChangeCallback
000003EE    00042B74    03ED    006AEE6F    KeReleaseGuardedMutex
000003EF    001D9ADC    03EE    006AEE85    KeReleaseGuardedMutexUnsafe
000003F0    00095A30    03EF    006AEEA1    KeReleaseInStackQueuedSpinLock
000003F1    001DB520    03F0    006AEEC0    KeReleaseInStackQueuedSpinLockForDpc
000003F2    00036540    03F1    006AEEE5    KeReleaseInStackQueuedSpinLockFromDpcLevel
000003F3    000F10E0    03F2    006AEF10    KeReleaseInterruptSpinLock
000003F4    000AC2D8    03F3    006AEF2B    KeReleaseMutant
000003F5    00095AA0    03F4    006AEF3B    KeReleaseMutex
000003F6    0003AEBC    03F5    006AEF4A    KeReleaseQueuedSpinLock
000003F7    0009CDF0    03F6    006AEF62    KeReleaseSemaphore
000003F8    0002B380    03F7    006AEF75    KeReleaseSpinLock
000003F9    001DB598    03F8    006AEF87    KeReleaseSpinLockForDpc
000003FA    0002B368    03F9    006AEF9F    KeReleaseSpinLockFromDpcLevel
000003FB    001DE810    03FA    006AEFBD    KeRemoveByKeyDeviceQueue
000003FC    001DE970    03FB    006AEFD6    KeRemoveByKeyDeviceQueueIfBusy
000003FD    000D5168    03FC    006AEFF5    KeRemoveDeviceQueue
000003FE    001DEADC    03FD    006AF009    KeRemoveEntryDeviceQueue
000003FF    001DBD94    03FE    006AF022    KeRemoveGroupAffinityEx
00000400    001DBDA8    03FF    006AF03A    KeRemoveProcessorAffinityEx
00000401    001DBDD8    0400    006AF056    KeRemoveProcessorGroupAffinity
00000402    000DD2C0    0401    006AF075    KeRemoveQueue
00000403    000FD324    0402    006AF083    KeRemoveQueueDpc
00000404    000FD32C    0403    006AF094    KeRemoveQueueDpcEx
00000405    00092180    0404    006AF0A7    KeRemoveQueueEx
00000406    005E4554    0405    006AF0B7    KeRemoveSystemServiceTable
00000407    0003DC70    0406    006AF0D2    KeResetEvent
00000408    001DA310    0407    006AF0DF    KeRestoreExtendedProcessorState
00000409    0015B40C    0408    006AF0FF    KeRestoreFloatingPointState
0000040A    000F71FC    0409    006AF11B    KeRevertToUserAffinityThread
0000040B    001D9B98    040A    006AF138    KeRevertToUserAffinityThreadEx
0000040C    000F7238    040B    006AF157    KeRevertToUserGroupAffinityThread
0000040D    000DCE08    040C    006AF179    KeRundownQueue
0000040E    001DA424    040D    006AF188    KeSaveExtendedProcessorState
0000040F    0015B40C    040E    006AF1A5    KeSaveFloatingPointState
00000410    0014EDF0    040F    006AF1BE    KeSaveStateForHibernate
00000411    00076D7C    0410    006AF1D6    KeSetActualBasePriorityThread
00000412    000B7AA4    0411    006AF1F4    KeSetAffinityThread
00000413    000F09B8    0412    006AF208    KeSetBasePriorityThread
00000414    000D9D18    0413    006AF220    KeSetCoalescableTimer
00000415    0008FD80    0414    006AF236    KeSetDmaIoCoherency
00000416    000985F0    0415    006AF24A    KeSetEvent
00000417    001DBEF8    0416    006AF255    KeSetEventBoostPriority
00000418    005E511C    0417    006AF26D    KeSetHardwareCounterConfiguration
00000419    000F75D0    0418    006AF28F    KeSetIdealProcessorThread
0000041A    00123E14    0419    006AF2A9    KeSetImportanceDpc
0000041B    000E8BEC    041A    006AF2BC    KeSetKernelStackSwapEnable
0000041C    00073440    041B    006AF2D7    KeSetPriorityThread
0000041D    00723AB8    041C    006AF2EB    KeSetProfileIrql
0000041E    001D9BF0    041D    006AF2FC    KeSetSystemAffinityThread
0000041F    001D9BF8    041E    006AF316    KeSetSystemAffinityThreadEx
00000420    00027444    041F    006AF332    KeSetSystemGroupAffinityThread
00000421    001DE424    0420    006AF351    KeSetTargetProcessorDpc
00000422    000FA83C    0421    006AF369    KeSetTargetProcessorDpcEx
00000423    000DBB9C    0422    006AF383    KeSetTimer
00000424    000DA4F8    0423    006AF38E    KeSetTimerEx
00000425    000FBEA0    0424    006AF39B    KeSignalCallDpcDone
00000426    001DE4F4    0425    006AF3AF    KeSignalCallDpcSynchronize
00000427    000A97E8    0426    006AF3CA    KeStackAttachProcess
00000428    001DFE2C    0427    006AF3DF    KeStallWhileFrozen
00000429    005E4BD4    0428    006AF3F2    KeStartDynamicProcessor
0000042A    001DBDFC    0429    006AF40A    KeSubtractAffinityEx
0000042B    0015B2A4    042A    006AF41F    KeSweepLocalCaches
0000042C    0014EEF0    042B    006AF432    KeSynchronizeExecution
0000042D    000A9ECC    042C    006AF449    KeTestAlertThread
0000042E    000E10F8    042D    006AF45B    KeTestSpinLock
0000042F    000D3530    042E    006AF46A    KeTryToAcquireGuardedMutex
00000430    000A8B08    042F    006AF485    KeTryToAcquireQueuedSpinLock
00000431    001DB1A8    0430    006AF4A2    KeTryToAcquireQueuedSpinLockRaiseToSynch
00000432    00023E60    0431    006AF4CB    KeTryToAcquireSpinLockAtDpcLevel
00000433    000A95A8    0432    006AF4EC    KeUnstackDetachProcess
00000434    004023E0    0433    006AF503    KeUserModeCallback
00000435    00092BC0    0434    006AF516    KeWaitForMultipleObjects
00000436    00044B60    0435    006AF52F    KeWaitForMutexObject
00000437    00044B60    0436    006AF544    KeWaitForSingleObject
00000438    00383658    0437    006AF55A    KeWriteProtectPAT
00000439    00041990    0438    006AF56C    KfRaiseIrql
0000043A    002DA980    0439    006AF578    KiBugCheckData
0000043B    000D3E34    043A    006AF587    KiCheckForKernelApcDelivery
0000043C    0023EE4C    043B    006AF5A3    KitLogFeatureUsage
0000043D    003EE5CC    043C    006AF5B6    KseQueryDeviceData
0000043E    005E76DC    043D    006AF5C9    KseQueryDeviceDataList
0000043F    004D9DCC    043E    006AF5E0    KseQueryDeviceFlags
00000440    004F5AE4    043F    006AF5F4    KseRegisterShim
00000441    004F5AEC    0440    006AF604    KseRegisterShimEx
00000442    005E791C    0441    006AF616    KseSetDeviceFlags
00000443    005E8120    0442    006AF628    KseUnregisterShim
00000444    004E94B8    0443    006AF63A    LdrAccessResource
00000445    006135F4    0444    006AF64C    LdrEnumResources
00000446    00613890    0445    006AF65D    LdrFindResourceDirectory_U
00000447    006138AC    0446    006AF678    LdrFindResourceEx_U
00000448    004E94C0    0447    006AF68C    LdrFindResource_U
00000449    004D9D58    0448    006AF69E    LdrResFindResource
0000044A    004E3838    0449    006AF6B1    LdrResFindResourceDirectory
0000044B    00406950    044A    006AF6CD    LdrResSearchResource
0000044C    002D40D0    044B    006AF6E2    LpcPortObjectType
0000044D    005E9E14    044C    006AF6F4    LpcReplyWaitReplyPort
0000044E    00476A58    044D    006AF70A    LpcRequestPort
0000044F    004DC8D0    044E    006AF719    LpcRequestWaitReplyPort
00000450    00476B10    044F    006AF731    LpcRequestWaitReplyPortEx
00000451    005E9E28    0450    006AF74B    LpcSendWaitReceivePort
00000452    0061A5B4    0451    006AF762    LsaCallAuthenticationPackage
00000453    0061A64C    0452    006AF77F    LsaDeregisterLogonProcess
00000454    0047B34C    0453    006AF799    LsaFreeReturnBuffer
00000455    0061A690    0454    006AF7AD    LsaLogonUser
00000456    0047B2E8    0455    006AF7BA    LsaLookupAuthenticationPackage
00000457    0047B284    0456    006AF7D9    LsaRegisterLogonProcess
00000458    0035C22F    0457    006AF7F1    Mm64BitPhysicalAddress
00000459    005ED89C    0458    006AF808    MmAddPhysicalMemory
0000045A    005EDC58    0459    006AF81C    MmAddVerifierThunks
0000045B    00383E48    045A    006AF830    MmAdjustWorkingSetSize
0000045C    001EB450    045B    006AF847    MmAdvanceMdl
0000045D    001EBB44    045C    006AF854    MmAllocateContiguousMemory
0000045E    00113014    045D    006AF86F    MmAllocateContiguousMemorySpecifyCache
0000045F    001EBB80    045E    006AF896    MmAllocateContiguousMemorySpecifyCacheNode
00000460    000C78F0    045F    006AF8C1    MmAllocateContiguousNodeMemory
00000461    004B8D94    0460    006AF8E0    MmAllocateMappingAddress
00000462    001EC15C    0461    006AF8F9    MmAllocateMdlForIoSpace
00000463    000CB020    0462    006AF911    MmAllocateNodePagesForMdlEx
00000464    005EDD5C    0463    006AF92D    MmAllocateNonCachedMemory
00000465    00138F90    0464    006AF947    MmAllocatePagesForMdl
00000466    000CAFC0    0465    006AF95D    MmAllocatePagesForMdlEx
00000467    00103B44    0466    006AF975    MmAreMdlPagesCached
00000468    0035C188    0467    006AF989    MmBadPointer
00000469    000E12BC    0468    006AF996    MmBuildMdlForNonPagedPool
0000046A    000CCEF4    0469    006AF9B0    MmCanFileBeTruncated
0000046B    004549F4    046A    006AF9C5    MmCommitSessionMappedView
0000046C    001ECEE4    046B    006AF9DF    MmCopyMemory
0000046D    004008B4    046C    006AF9EC    MmCopyVirtualMemory
0000046E    0002AFCC    046D    006AFA00    MmCreateMdl
0000046F    005EF410    046E    006AFA0C    MmCreateMirror
00000470    003C5A4C    046F    006AFA1B    MmCreateSection
00000471    000F6DB0    0470    006AFA2B    MmDisableModifiedWriteOfSection
00000472    0008AF84    0471    006AFA4B    MmDoesFileHaveUserWritableReferences
00000473    000CC008    0472    006AFA70    MmFlushImageSection
00000474    000CC188    0473    006AFA84    MmForceSectionClosed
00000475    000CAA68    0474    006AFA99    MmFreeContiguousMemory
00000476    00113470    0475    006AFAB0    MmFreeContiguousMemorySpecifyCache
00000477    004C0B70    0476    006AFAD3    MmFreeMappingAddress
00000478    005EDF8C    0477    006AFAE8    MmFreeNonCachedMemory
00000479    00113478    0478    006AFAFE    MmFreePagesFromMdl
0000047A    001EC260    0479    006AFB11    MmGetCacheAttribute
0000047B    005ED068    047A    006AFB25    MmGetMaximumFileSectionSize
0000047C    000E809C    047B    006AFB41    MmGetPhysicalAddress
0000047D    0043B470    047C    006AFB56    MmGetPhysicalMemoryRanges
0000047E    0042C814    047D    006AFB70    MmGetSystemRoutineAddress
0000047F    001EC2EC    047E    006AFB8A    MmGetVirtualForPhysical
00000480    001EDF4C    047F    006AFBA2    MmGrowKernelStack
00000481    0035C010    0480    006AFBB4    MmHighestUserAddress
00000482    0013CE80    0481    006AFBC9    MmIsAddressValid
00000483    0066F248    0482    006AFBDA    MmIsDriverSuspectForVerifier
00000484    00107A1C    0483    006AFBF7    MmIsDriverVerifying
00000485    004DAEE0    0484    006AFC0B    MmIsDriverVerifyingByAddress
00000486    001EB5D8    0485    006AFC28    MmIsIoSpaceActive
00000487    001EE688    0486    006AFC3A    MmIsNonPagedSystemAddressValid
00000488    001E71C8    0487    006AFC59    MmIsRecursiveIoFault
00000489    00124068    0488    006AFC6E    MmIsThisAnNtAsSystem
0000048A    0066F0BC    0489    006AFC83    MmIsVerifierEnabled
0000048B    0047AB7C    048A    006AFC97    MmLockPagableDataSection
0000048C    0047AB7C    048B    006AFCB0    MmLockPagableImageSection
0000048D    00404FAC    048C    006AFCCA    MmLockPagableSectionByHandle
0000048E    000C9C94    048D    006AFCE7    MmMapIoSpace
0000048F    001EBE84    048E    006AFCF4    MmMapLockedPages
00000490    0004DE80    048F    006AFD05    MmMapLockedPagesSpecifyCache
00000491    001EBEA8    0490    006AFD22    MmMapLockedPagesWithReservedMapping
00000492    001148A8    0491    006AFD46    MmMapMemoryDumpMdl
00000493    00383B90    0492    006AFD59    MmMapUserAddressesToPage
00000494    000C9C94    0493    006AFD72    MmMapVideoDisplay
00000495    0048AFE8    0494    006AFD84    MmMapViewInSessionSpace
00000496    0048B00C    0495    006AFD9C    MmMapViewInSessionSpaceEx
00000497    003EF23C    0496    006AFDB6    MmMapViewInSystemSpace
00000498    003F7DBC    0497    006AFDCD    MmMapViewInSystemSpaceEx
00000499    00407900    0498    006AFDE6    MmMapViewOfSection
0000049A    001EA250    0499    006AFDF9    MmMarkPhysicalMemoryAsBad
0000049B    001EA61C    049A    006AFE13    MmMarkPhysicalMemoryAsGood
0000049C    000F5ADC    049B    006AFE2E    MmMdlPageContentsState
0000049D    00112630    049C    006AFE45    MmMdlPagesAreZero
0000049E    0047AEA0    049D    006AFE57    MmPageEntireDriver
0000049F    00396BDC    049E    006AFE6A    MmPrefetchPages
000004A0    00454F80    049F    006AFE7A    MmPrefetchVirtualAddresses
000004A1    00064A20    04A0    006AFE95    MmProbeAndLockPages
000004A2    0040067C    04A1    006AFEA9    MmProbeAndLockProcessPages
000004A3    00064400    04A2    006AFEC4    MmProbeAndLockSelectedPages
000004A4    000FA074    04A3    006AFEE0    MmProtectMdlSystemAddress
000004A5    00124954    04A4    006AFEFA    MmQuerySystemSize
000004A6    005EDBF4    04A5    006AFF0C    MmRemovePhysicalMemory
000004A7    0047AD14    04A6    006AFF23    MmResetDriverPaging
000004A8    003E43E0    04A7    006AFF37    MmRotatePhysicalView
000004A9    0035C140    04A8    006AFF4C    MmSectionObjectType
000004AA    003C50B4    04A9    006AFF60    MmSecureVirtualMemory
000004AB    0009F100    04AA    006AFF76    MmSetAddressRangeModified
000004AC    00149EBC    04AB    006AFF90    MmSetBankedSection
000004AD    0002B09C    04AC    006AFFA3    MmSizeOfMdl
000004AE    0035C138    04AD    006AFFAF    MmSystemRangeStart
000004AF    001F159C    04AE    006AFFC2    MmTrimAllSystemPagableMemory
000004B0    000AD2C4    04AF    006AFFDF    MmUnlockPagableImageSection
000004B1    0009E070    04B0    006AFFFB    MmUnlockPages
000004B2    000CAC04    04B1    006B0009    MmUnmapIoSpace
000004B3    000BCF60    04B2    006B0018    MmUnmapLockedPages
000004B4    001EBFB0    04B3    006B002B    MmUnmapReservedMapping
000004B5    000CAC04    04B4    006B0042    MmUnmapVideoDisplay
000004B6    00494580    04B5    006B0056    MmUnmapViewInSessionSpace
000004B7    003F7D4C    04B6    006B0070    MmUnmapViewInSystemSpace
000004B8    0048529C    04B7    006B0089    MmUnmapViewOfSection
000004B9    003B40CC    04B8    006B009E    MmUnsecureVirtualMemory
000004BA    0035C000    04B9    006B00B6    MmUserProbeAddress
000004BB    006B72EC    04BA    006B00C9    NlsAnsiCodePage
000004BC    00661AF8    04BB    006B00D9    NlsLeadByteInfo
000004BD    006B7082    04BC    006B00E9    NlsMbCodePageTag
000004BE    006B7081    04BD    006B00FA    NlsMbOemCodePageTag
000004BF    006B72F0    04BE    006B010E    NlsOemCodePage
000004C0    00661AE8    04BF    006B011D    NlsOemLeadByteInfo
000004C1    00646CE8    04C0    006B0130    NtAddAtom
000004C2    0043CD18    04C1    006B013A    NtAdjustPrivilegesToken
000004C3    00471FD4    04C2    006B0152    NtAllocateLocallyUniqueId
000004C4    003ED570    04C3    006B016C    NtAllocateUuids
000004C5    005EE0A8    04C4    006B017C    NtAllocateVirtualMemory
000004C6    000024F0    04C5    006B0194    NtBuildGUID
000004C7    00002630    04C6    006B01A0    NtBuildLab
000004C8    0001B258    04C7    006B01AB    NtBuildNumber
